Customer_ID,First_Name,Last_Name,Email_Address
7590-VHVEG,Sebrina  ,Brassfield  ,sb8238@gmail.com
5575-GNVDE,Shala  ,Pablo  ,cr2893@gmail.com
3668-QPYBK,Agustin  ,Fogg  ,rev328@gmail.com
7795-CFOCW,Clifford  ,Rountree  ,fdsjtj@gmail.com
9237-HQITU,Alane  ,Francis  ,djei@gmail.com
9305-CDSKC,Kurtis  ,Dahlquist  ,crsi29@gmail.com
1452-KIOVK,Anika  ,Lineberry  ,adam239@gmail.com
6713-OKOMC,Annett  ,Simser  ,s2393@gmail.com
7892-POOKP,Ai  ,Casias  ,yoeue@gmail.com
6388-TABGU,Bridgett  ,Ellett  ,inuweit@gmail.com
9763-GRSKD,Titus  ,Geiser  ,dienq@gmail.com
7469-LKBCI,Mariel  ,Zuccaro  ,erio@gmail.com
8091-TTVAX,Forrest  ,Schmelzer  ,qiwn@gmail.com
0280-XJGEX,Ashleigh  ,Giron  ,2i29@gmail.com
5129-JLPIS,Juliana  ,Kaler  ,laowin@gmail.com
3655-SNQYZ,Colby  ,Pietz  ,sieo@gmail.com
8191-XWSZG,Gertude  ,Queen  ,wirudan@gmail.com
9959-WOFKT,Jacqualine  ,Hoose  ,urisgen@gmail.com
4190-MFLUW,Theodora  ,Fortuna  ,irisone@gmail.com
4183-MYFRB,Janita  ,Chase  ,eleojen@gmail.com
8779-QRDMV,Katheryn  ,Bartle  ,yuralisa@gmail.com
1680-VDCWW,Kris  ,Groat  ,hanjo@gmail.com
1066-JKSGK,Lillie  ,Wolski  ,jin808@gmail.com
3638-WEABW,Paulene  ,Mom  ,panda101@gmail.com
6322-HRPFA,Vicky  ,Flett  ,nguyen293@gmail.com
6865-JZNKO,Drucilla  ,Netzer  ,lisa829@gmail.com
6467-CHFZW,Markita  ,Vanburen  ,james129@gmail.com
8665-UTDHZ,Eden  ,Alfieri  ,rana@gmail.com
5248-YGIJN,Erlinda  ,Hanney  ,ryuko72@gmail.com
