Payment_ID,Payment_Method,CCN,Card_NAME,Customer_ID
943570,Credit,4034637458365310,VISA,7590-VHVEG
384643,Debit,4805513738638593,VISA,5575-GNVDE
963911,Debit,343181161495779,AMERICAN EXPRESS,3668-QPYBK
852757,Credit,5140574286128941,MASTERCARD,7795-CFOCW
244135,Debit,377593725805674,AMERICAN EXPRESS,9237-HQITU
880621,Credit,4487393758291747,VISA,9305-CDSKC
597346,Debit,379998337911026,AMERICAN EXPRESS,1452-KIOVK
811974,Debit,6011172885648320,DISCOVERY,6713-OKOMC
200169,Credit,4342491881011696,VISA,7892-POOKP
777894,Debit,4098304582916939,VISA,6388-TABGU
836664,Credit,5515667170539004,MASTERCARD,9763-GRSKD
123611,Debit,374559397587000,AMERICAN EXPRESS,7469-LKBCI
156516,Credit,4795111766060996,VISA,8091-TTVAX
64434,Credit,6592393520862129,DISCOVERY,0280-XJGEX
939245,Credit,4930173072345749,VISA,5129-JLPIS
232671,Debit,378916441367779,AMERICAN EXPRESS,3655-SNQYZ
551346,Credit,6597504960830021,DISCOVERY,8191-XWSZG
731915,Credit,4252442144159168,VISA,9959-WOFKT
402277,Credit,5352357780768104,MASTERCARD,4190-MFLUW
384096,Credit,5481468295641357,MASTERCARD,4183-MYFRB
87435,Debit,5335540239142474,MASTERCARD,8779-QRDMV
630501,Credit,6011527484407826,DISCOVERY,1680-VDCWW
99761,Credit,4370207738119150,VISA,1066-JKSGK
879403,Debit,4092880184388524,VISA,3638-WEABW
864970,Debit,5451422090414821,MASTERCARD,6322-HRPFA
74501,Credit,4365641754413799,VISA,6865-JZNKO
434970,Credit,5424584119076362,MASTERCARD,6467-CHFZW
776980,Debit,4587513878764872,VISA,8665-UTDHZ
558574,Credit,6564128966255774,DISCOVERY,5248-YGIJN
